% Model,skyrnion.mph
% Version,COMSOL 6.3.0.290
% Date,"Jun 3 2025, 17:51"
% Dimension,2
% Nodes,3199
% Expressions,3
% Description,"unit magnetic moments, 1 component, unit magnetic moments, 2 component, unit magnetic moments, 3 component"
% Length unit,nm
% X,Y,mX (1) @ t=2,mY (1) @ t=2,mZ (1) @ t=2
85.23705503848655,45.570348352267146,0.007319476859407633,-0.015575633189598438,-0.9998516734339677
89.10065555035888,45.39904382799595,0,0,-1
87.24962685937648,48.8620774517372,0,0,-1
83.37907709384405,48.87784680211206,0.007932879837825734,-0.015293817853946208,-0.9998513428396391
85.26404987516528,52.24980190283331,0,0,-1
86.96053805174128,42.19259472193386,0.006702487929832868,-0.01584548080078352,-0.9998517616293913
90.81432841222642,41.86594982842599,0,0,-1
88.54696902788271,38.74963032944095,0.006081461357731996,-0.016104402763426316,-0.9998515964976517
92.38798769602693,38.268260079062564,0,0,-1
81.39095908030028,52.11085539626285,0.00853832348603515,-0.01499086461781047,-0.9998509413818587
83.14697468898902,55.55700315953533,0,0,-1
79.27711592286437,55.26547412568571,0.00912996002529578,-0.014658262068256963,-0.999850642708804
80.90169989860856,58.77852459457857,0,0,-1
77.04223265763386,58.33688434832856,0.009702025283571615,-0.014290873021552191,-0.999850571248175
78.53170384026151,61.909381291896736,0,0,-1
89.99577966071007,35.24579760443647,0.005453185259852395,-0.016346376416548337,-0.9998512952404189
93.81916194630665,34.61162885061442,0,0,-1
91.3065812934513,31.685011644603904,0.004815248343915924,-0.01656458021643631,-0.9998509813815754
95.10565564682715,30.901687073477692,0,0,-1
92.47844693803421,28.072727546340744,0.004166570738035932,-0.016751600189295144,-0.9998507809588312
96.24556140968487,27.143911083971943,0,0,-1
74.69113304206093,61.319715669252844,0.010249696841420547,-0.013887026768400501,-0.9998507949397123
76.04061190065664,64.94478687141648,0,0,-1
72.22762862599012,64.20823956743237,0.010772600890884677,-0.013451573222691788,-0.9998512483179246
73.43225860207923,67.88006626836304,0,0,-1
93.50993941700038,24.415707282234393,0.003507841374483675,-0.016901504052345053,-0.9998507885897964
97.23716849103296,23.34380140093872,0,0,-1
69.65487513665131,66.99666680154525,0.011274160578533308,-0.0129927469070609,-0.9998517830819099
70.71067811865476,70.71067811865474,0,0,-1
66.97572277831084,69.68036136249249,0.011758011162191148,-0.012516736200448771,-0.9998522786999099
67.88006626836305,73.43225860207922,0,0,-1
64.19262761707829,72.2555720099628,0.012227757999354591,-0.012027900009910093,-0.9998526395980306
64.94478687141651,76.04061190065664,0,0,-1
61.3086773199398,74.71823351773348,0.012686827259194206,-0.011529361550243198,-0.9998527871996753
61.90938129189675,78.53170384026149,0,0,-1
58.328143663650074,77.06473367293393,0.013135057194177074,-0.011020356541796872,-0.9998527321355429
58.7785245945786,80.90169989860854,0,0,-1
94.39915782929086,20.720980763930964,0.002841422914928154,-0.017012524774381112,-0.9998510244675972
98.07880601495634,19.507634676724972,0,0,-1
95.14391564140651,16.99575322802871,0.0021704406056039984,-0.017086864280478342,-0.9998514416653671
98.76911484335483,15.641673601638253,0,0,-1
